,차트명,순위,타이틀,가수
0,Bugs,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
1,Bugs,2,LOVE DIVE,IVE (아이브)
2,Bugs,3,초록을거머쥔우리는,잔나비
3,Bugs,4,TOMBOY,(여자)아이들
4,Bugs,5,FEARLESS,LE SSERAFIM (르세라핌)
5,Bugs,6,Celeb,싸이 (PSY)
6,Bugs,7,ZOOM,제시(Jessi)
7,Bugs,8,사랑인가 봐,멜로망스(MeloMance)
8,Bugs,9,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
9,Bugs,10,Feel My Rhythm,Red Velvet (레드벨벳)
10,Bugs,11,MY BAG,(여자)아이들
11,Bugs,12,That's Hilarious,Charlie Puth(찰리 푸스)
12,Bugs,13,INVU,태연 (TAEYEON)
13,Bugs,14,LOVE me,BE'O (비오)
14,Bugs,15,Drive,미연 ((여자)아이들)
15,Bugs,16,나의 X에게,경서
16,Bugs,17,감동이야 (feat. 성시경),싸이 (PSY)
17,Bugs,18,여름가을겨울  봄.,잔나비
18,Bugs,19,With you,지민
19,Bugs,20,봄 to 러브,지민
20,Bugs,21,Whisky on the Rock,10CM
21,Bugs,22,신호등,김연지
22,Bugs,23,밤이 깊었네 (feat. 헤이즈),이무진
23,Bugs,24,정이라고 하자 (Feat. 10CM),싸이 (PSY)
24,Bugs,25,슬픔이여안녕,BIG Naughty (서동현)
25,Bugs,26,취중고백,잔나비
26,Bugs,27,Seoul,김민석 (멜로망스)
27,Bugs,28,다정히 내 이름을 부르면,볼빨간사춘기
28,Bugs,29,듣고 싶을까,경서예지
29,Bugs,30,SMILEY (Feat. BIBI),경서예지
30,Bugs,31,O.O,MSG워너비(M.O.M)
31,Bugs,32,레이디버드,YENA (최예나)
32,Bugs,33,내 곁에,NMIXX
33,Bugs,34,ELEVEN,잔나비
34,Bugs,35,GANADARA (Feat. 아이유),태연 (TAEYEON)
35,Bugs,36,기억해 줘요,IVE (아이브)
36,Bugs,37,이제는 (feat. 화사),박재범
37,Bugs,38,All 4 Nothing (I'm So In Love),다비치
38,Bugs,39,Permission to Dance,싸이 (PSY)
39,Bugs,40,Next Level,Lauv(라우브)
40,Bugs,41,2step (feat. Lil Baby),방탄소년단
41,Bugs,42,RUN2U,aespa
42,Bugs,43,초대,Ed Sheeran(에드 시런)
43,Bugs,44,STAY,STAYC(스테이씨)
44,Bugs,45,문득,멜로망스(MeloMance)
45,Bugs,46,Weekend,The Kid LAROI
46,Bugs,47,우리들의 블루스,The Kid LAROI
47,Bugs,48,strawberry moon,BE'O (비오)
48,Bugs,49,드라마,태연 (TAEYEON)
49,Bugs,50,Real Love,임영웅
50,Bugs,51,Butter,아이유(IU)
51,Bugs,52,Love story,아이유(IU)
52,Bugs,53,Light Switch,오마이걸(OH MY GIRL)
53,Bugs,54,Dynamite,방탄소년단
54,Bugs,55,Off My Face,볼빨간사춘기
55,Bugs,56,존재만으로,Charlie Puth(찰리 푸스)
56,Bugs,57,라일락,방탄소년단
57,Bugs,58,Stronger (What Doesn't Kill You),Justin Bieber(저스틴 비버)
58,Bugs,59,너를 생각해,원슈타인
59,Bugs,60,사랑은 늘 도망가,아이유(IU)
60,Bugs,61,As It Was,Kelly Clarkson(켈리 클락슨)
61,Bugs,62,리무진 (Feat. MINO) (Prod. GRAY),주시크 (Joosiq)
62,Bugs,63,"스물다섯, 스물하나",임영웅
63,Bugs,64,Step Back,Harry Styles(해리 스타일스)
64,Bugs,65,사건의 지평선,BE'O (비오)
65,Bugs,66,썸 2 (Feat. 정용화),자우림(Jaurim)
66,Bugs,67,너의 모든 순간,GOT the beat
67,Bugs,68,먼 훗날에,윤하(Younha/ユンナ)
68,Bugs,69,Blueming,소유 (SOYOU)
69,Bugs,70,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",성시경
70,Bugs,71,Celebrity,전상근
71,Bugs,72,마지막 너의 인사,아이유(IU)
72,Bugs,73,Dreams Come True,sokodomo
73,Bugs,74,GANJI (feat. Jessi),아이유(IU)
74,Bugs,75,Happier (feat. Crush),헤이즈(Heize)
75,Bugs,76,Roller Coaster,aespa
76,Bugs,77,Starlight,싸이 (PSY)
77,Bugs,78,무지개,싸이 (PSY)
78,Bugs,79,Blue Flame,정세운
79,Bugs,80,언제나 사랑해,태일 (TAEIL)
80,Bugs,81,내일의 나에게,임영웅
81,Bugs,82,Savage,LE SSERAFIM (르세라핌)
82,Bugs,83,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",케이시
83,Bugs,84,Bad Habits,싸이 (PSY)
84,Bugs,85,다시 만날 수 있을까,aespa
85,Bugs,86,"모든 날, 모든 순간 (Every day, Every Moment)",AKMU(악뮤)
86,Bugs,87,9INTRO,Ed Sheeran(에드 시런)
87,Bugs,88,헤픈 우연,임영웅
88,Bugs,89,사랑인가 봐 (Acoustic Ver.),폴킴(Paul Kim)
89,Bugs,90,나의 월요일,싸이 (PSY)
90,Bugs,91,Good Boy Gone Bad,헤이즈(Heize)
91,Bugs,92,어제처럼,김세정
92,Bugs,93,사계 (Four Seasons),싸이 (PSY)
93,Bugs,94,abcdefu,투모로우바이투게더
94,Bugs,95,바라만 본다,폴킴(Paul Kim)
95,Bugs,96,너의 번호를 누르고,태연 (TAEYEON)
96,Bugs,97,꽃 길,GAYLE
97,Bugs,98,Kiss Me More (feat. SZA),MSG워너비(M.O.M)
98,Bugs,99,Can't Control Myself,김나영
99,Bugs,100,나의 사춘기에게,BIGBANG (빅뱅)
